PKT,Max,Mean TemperatureC,Min,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
8/1/1997,31,28,25,26,24,22,94,81,70,999,997,996,10,8,6,27,10,,0,4,,63
8/2/1997,31,28,25,26,24,23,94,81,70,997,996,995,10,9,7,19,10,,0,3,,99
8/3/1997,29,27,25,25,23,22,89,80,70,999,997,995,10,8,6,32,8,,0,4,Rain,123
8/4/1997,35,30,26,27,25,23,94,74,55,998,997,992,10,7,5,19,5,,0,3,Thunderstorm,60
8/5/1997,36,31,27,28,26,24,94,72,53,998,997,996,10,8,6,13,2,,0,2,Thunderstorm,132
8/6/1997,36,31,27,28,27,25,89,74,56,1001,999,998,8,7,7,11,2,,0,2,,101
8/7/1997,36,32,29,28,27,26,89,73,63,1001,1000,999,8,7,6,19,3,,0,3,Thunderstorm,120
8/8/1997,32,30,29,27,25,24,84,73,66,1006,1003,1001,10,8,6,21,14,,0,4,,116
8/9/1997,35,31,27,25,25,24,89,70,53,1006,1004,1003,10,8,6,14,6,,0,4,,149
8/10/1997,36,32,29,26,25,23,79,64,50,1004,1002,1000,10,8,6,19,8,,0,4,,231
8/11/1997,31,31,30,26,26,25,79,73,70,1001,1001,1000,10,9,8,10,10,,0,1,,140
8/12/1997,30,28,27,28,25,22,94,80,66,1004,1002,1000,10,8,6,26,13,,0,5,,101
8/13/1997,29,26,22,26,23,22,100,94,79,1003,1001,1000,10,7,1,47,11,,0,7,Rain-Thunderstorm,111
8/14/1997,31,27,23,27,24,22,100,83,70,1004,1003,1002,10,9,4,16,5,,0,4,Rain-Thunderstorm,122
8/15/1997,34,30,26,29,27,25,94,80,63,1006,1004,1002,10,8,6,16,3,,0,2,Thunderstorm,134
8/16/1997,34,30,27,28,27,25,94,80,63,1005,1003,1001,10,8,7,13,3,,0,2,Thunderstorm,160
8/17/1997,36,32,29,28,26,24,94,70,53,1002,1000,999,10,8,6,16,5,,0,1,,223
8/18/1997,37,33,29,28,25,23,84,66,44,1001,999,998,10,8,6,16,6,,0,2,,216
8/19/1997,37,33,29,27,25,23,84,68,44,1001,1001,1000,10,8,7,13,6,,0,2,,176
8/20/1997,33,30,28,29,27,26,94,83,71,1005,1003,1002,10,8,7,19,11,,0,4,Rain,106
8/21/1997,35,32,29,29,28,26,94,82,59,1006,1004,1001,10,8,4,13,5,,0,4,,97
8/22/1997,31,27,23,29,25,22,100,93,84,1007,1003,1001,8,6,1,47,10,,0,5,Rain-Thunderstorm,142
8/23/1997,33,28,23,26,23,22,94,77,59,1006,1003,1000,10,8,7,37,5,,0,3,,43
8/24/1997,34,30,27,27,26,22,94,76,62,1004,1002,999,10,8,6,13,3,,0,2,,27
8/25/1997,33,29,25,27,25,21,94,79,66,1002,1000,998,8,7,6,32,5,,0,3,Thunderstorm,88
8/26/1997,26,24,23,24,23,22,100,93,78,1001,999,998,10,6,3,32,16,,0,8,Rain-Thunderstorm,44
8/27/1997,26,24,23,25,23,22,94,94,89,1004,998,992,10,6,2,50,19,,0,7,Rain,119
8/28/1997,31,27,24,26,24,23,94,85,70,1006,1003,1001,10,7,0,19,5,,0,3,Fog,342
8/29/1997,33,28,24,24,23,21,94,73,49,1003,1002,1000,10,8,4,13,3,,0,1,,198
8/30/1997,33,29,25,25,24,22,94,74,52,1004,1002,1001,10,7,4,16,5,,0,1,,207
8/31/1997,34,30,26,26,24,22,89,74,56,1005,1003,1002,10,8,3,13,5,,0,1,,116
<!-- 0.210:0 -->,,,,,,,,,,,,,,,,,,,,,,
